Service slug,title,slug,softwares,Items
ui-ux-retainer,website,website-ui-ux,"Adobe XD, Figma, Sketch, Invision, PhotoShop"," User research, User experience design, Analytics Driven Design , Premium quality images, Stock Images included, Interactive Mockup, High Fidelity Prototypes, Micro Interaction & Consumer Lifecycle"
ui-ux-retainer,Mobile App,mobile-app-ui-ux,"Adobe XD, Figma, Sketch, Invision, PhotoShop"," User research, User experience design, Analytics Driven Design , Premium quality images, Stock Images included, Interactive Mockup, High Fidelity Prototypes, Micro Interaction & Consumer Lifecycle"
ui-ux-retainer,Custom App,custom-app-ui-ux,"Adobe XD, Figma, Sketch, Invision, PhotoShop","Product Research, Custom Design & Prototypes,  CRM,dashboards,ERP"
website-development-retainer,Website Development -Front End,website-front-end-development,"HTML/CC, React JS, Angular, Vue JS","Responsive Design, Interactive , Secure, SEO Ready, Customized"
website-development-retainer,Website Development -Back End,website-back-end-development,"PHP, Java, Node JS, Python","Responsive Design, Interactive , Secure, SEO Ready, Customized"
website-development-retainer,Website Development - Database,website-database-development,"MYSQL, Mongo DB, Post GRESQL","Responsive Designs, Interactive , Secure, SEO Ready, Customized"
app-development-retainer,Flutter,app-development-flutter,Flutter,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
app-development-retainer,Ionic,app-development-ionic,Ionic,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
app-development-retainer,Android - Java,app-development-java,Android - Java,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
app-development-retainer,Android - Kotlin,app-development-kotlin,Android - Kotlin,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
app-development-retainer,iOS,app-development-ios,iOS,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
app-development-retainer,React Native,app-development-react-native,React Native,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
graphic-design-retainer,Graphics Creation,graphics-creation,"PSD, AI, SVG, JPG, PNG, PDF, Gif","Infographic, Banners, Flyers, Image, Slides, Gifs"
cxo-marketing-retainer,Content Creation,content-creation,-,Thought Leadership
cxo-marketing-retainer,Content Distribution,content-distribution,-,"Linkedin, Facebook, Instagram, twitter"
app-development-retainer,Ionic,app-development-ionic,Ionic,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
app-development-retainer,Android - Java,app-development-java,Android - Java,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
app-development-retainer,Android - Kotlin,app-development-kotlin,Android - Kotlin,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
app-development-retainer,iOS,app-development-ios,iOS,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
app-development-retainer,React Native,app-development-react-native,React Native,"Responsive Designs, Interactive , Secure, SEO Ready, Customized"
graphic-design-retainer,Graphics Creation,graphics-creation,"PSD, AI, SVG, JPG, PNG, PDF, Gif","Infographic, Banners, Flyers, Image, Slides, Gifs"
cxo-marketing-retainer,Content Creation,content-creation,-,Thought Leadership
cxo-marketing-retainer,Content Distribution,content-distribution,-,"Linkedin, Facebook, Instagram, twitter"
logo-design,Logo Design,logo-design-ms,"PSD, AI, SVG, JPG, PNG, PDF",Logo Design
logo-animation,Logo Animation,logo-animation-ms,"MP4, MOV, Gif, AVI, M4V",Logo Animation
brand-identity-styleguide,Brand Identity Styleguide,brand-identity-styleguide-ms,"PSD, AI, SVG, JPG, PNG, PDF",brand identity Styleguide
branding-stationery,Stationary Design,branding-stationery-ms,"PSD, AI, SVG, JPG, PNG, PDF",Stationary Design
business-deck,Business Deck,business-deck-ms,"PPT, PDF. Google Slides, JPG, PNG","Pitch desk, Business Deck"
web-design,Web Page Design,web-design-ms,"XD, Figma. PSD, AI, Sketch",Web Page Design
app-design,Mobile App Design,app-design-ms,"XD, Figma. PSD, AI, Sketch",Mobile App Design
design-system,Ui-Ux Design System,design-system-ms,"XD, Figma. PSD, AI, Sketch",Design System
